Symbol,Company Name,Industry,Mkt Cap,Prior Close,P/E Ratio (TTM)*,Revenue Growth CFY*,Return on Equity,EPS Growth CFY*,Dividend Yield
ADPT,Adaptive Biotechnologies Corp,Biotechnology & Medical Research,$1.151B,8.05,--,0.00%,-38.88%,0.00%,0.00%
ADUS,Addus Homecare Corporation,Healthcare Providers & Services,$1.657B,102.84,37.40x,9.92%,7.56%,-1.10%,0.00%
AGRO,Adecoagro SA,Food & Tobacco,$951.279M,8.11,5.52x,0.00%,15.70%,0.00%,3.95%
ADEA,Adeia Inc,Software & IT Services,$1.746B,9.34,--,0.00%,-32.14%,0.00%,2.14%
ACET,Adicet Bio Inc,Biotechnology & Medical Research,$344.951M,8.05,--,0.00%,-20.84%,0.00%,0.00%
ADDYY,Adidas AG - ADR,Textiles & Apparel,$24.012B,66.70,0.00x,7.44%,0.00%,-75.13%,2.61%
ADNT,Adient PLC,Automobiles & Auto Parts,$3.359B,35.41,--,2.30%,-5.39%,"1,890.91%",0.00%
ADEX,Adit EdTech Acquisition Cor,Holding Companies,$349.485M,10.13,135.19x,0.00%,0.97%,0.00%,0.00%
ADMA,ADMA Biologics Inc,Pharmaceuticals,$726.107M,3.69,--,81.71%,-69.23%,36.00%,0.00%
ADBE,Adobe Inc,Software & IT Services,$158.708B,341.38,33.79x,9.37%,32.97%,11.74%,0.00%
ADT^E16,ADT Inc,Communications & Networking,$7.866B,9.16,--,0.00%,-1.24%,0.00%,1.53%
ATGE,Adtalem Global Education Inc,Miscellaneous Educational Service Providers,$1.694B,37.30,34.66x,2.08%,3.83%,23.77%,0.00%
ADTN,Adtran Holdings Inc,Communications & Networking,$934.754M,19.03,--,83.65%,-7.31%,78.95%,1.89%
AAP,"Advance Auto Parts, Inc.",Other Specialty Retailers,$8.431B,142.29,18.30x,0.90%,16.13%,5.07%,4.22%
WMS^J13,Advanced Drainage Systems Inc,Homebuilding & Construction Supplies,$6.989B,84.35,15.55x,13.61%,46.86%,93.65%,0.57%
AEIS,"Advanced Energy Industries, Inc.","Machinery, Equipment & Components",$3.263B,86.87,16.70x,25.71%,21.45%,34.52%,0.46%
AVIFY,Advanced Info Service PCL (ADR),Telecommunications Services,$16.007B,5.38,21.75x,0.00%,33.39%,0.00%,4.07%
AMD,"Advanced Micro Devices, Inc.",Semiconductors & Semiconductor Equipment ,$109.124B,67.68,40.57x,43.16%,7.37%,26.16%,0.00%
ASIX,AdvanSix Inc,Chemicals,$1.060B,38.45,6.96x,19.81%,25.28%,31.19%,1.51%
ADV,Advantage Solutions Inc,Media & Publishing,$610.596M,1.91,8.95x,0.00%,2.75%,0.00%,0.00%
ATEYY,Advantest Corp (ADR),Semiconductors & Semiconductor Equipment ,$13.707B,68.54,14.09x,0.00%,39.21%,0.00%,1.48%
AVK,Advent Convertible and Income Fund,Collective Investments ,$393.322M,11.37,--,0.00%,0.00%,0.00%,12.37%
ACM,Aecom,Construction & Engineering,$11.734B,84.63,31.04x,5.33%,15.00%,5.76%,0.85%
AEFC,Aegon Funding Company LLC,Banking Services,$735.930M,19.89,0.00x,0.00%,0.00%,0.00%,6.41%
AEG,AEGON N.V. (ADR),Insurance,$10.673B,5.07,34.33x,5.54%,1.41%,-47.06%,4.06%
AEHR,Aehr Test Systems,Semiconductors & Semiconductor Equipment ,$626.886M,22.80,69.87x,32.93%,28.42%,28.57%,0.00%
AER,AerCap Holdings N.V.,Professional & Commercial Services  ,$7.446B,57.10,--,32.95%,-8.91%,23.88%,0.00%
AJRD,Aerojet Rocketdyne Holdings Inc,Aerospace & Defense,$4.490B,55.75,48.93x,0.79%,20.62%,-14.72%,0.00%
AVTE,Aerovate Therapeutics Inc,Biotechnology & Medical Research,$650.064M,26.42,--,0.00%,-28.05%,0.00%,0.00%
AVAV,"AeroVironment, Inc.",Aerospace & Defense,$2.146B,85.30,--,15.68%,-1.29%,11.20%,0.00%
ASLE,AerSale Corp,Aerospace & Defense,$793.193M,15.32,18.61x,0.00%,10.90%,0.00%,0.00%
AES,AES Corp,Electrical Utilities & IPPs,$19.197B,28.74,--,6.53%,-10.98%,7.89%,2.31%
AEVA,Aeva Technologies Inc,Communications & Networking,$305.523M,1.40,--,-23.18%,-32.18%,-25.49%,0.00%
AFCG,AFC Gamma Inc,Residential & Commercial REITs,$334.581M,16.43,7.91x,0.00%,12.88%,0.00%,13.63%
AMG,"Affiliated Managers Group, Inc.",Investment Banking & Investment Services,$5.917B,157.09,12.94x,-1.62%,20.23%,7.49%,0.03%
AFRM,Affirm Holdings Inc,Financial Technology (Fintech) & Infrastructure,$2.188B,9.51,--,21.21%,-26.40%,-37.85%,0.00%
AFL,AFLAC Incorporated,Insurance,$44.433B,71.46,9.12x,-14.26%,17.52%,-11.78%,2.35%
AGAC,African Gold Acquisition Corp,Holding Companies,$415.035M,10.03,48.19x,0.00%,2.79%,0.00%,0.00%
AFYA,Afya Ltd,Professional & Business Education,$704.649M,15.62,21.05x,0.00%,11.49%,0.00%,0.00%
AGCO,AGCO Corporation,"Machinery, Equipment & Components",$9.998B,134.03,11.84x,12.35%,25.40%,14.16%,0.72%
AGESY,Ageas SA - ADR,Insurance,$8.439B,44.48,--,-20.00%,0.00%,7.52%,9.99%
AGEN,Agenus Inc,Biotechnology & Medical Research,$743.741M,2.44,--,-69.58%,0.00%,-600.00%,0.00%
AGGR,Agile Growth Corp,Holding Companies,$312.170M,10.07,45.47x,0.00%,2.91%,0.00%,0.00%
A,Agilent Technologies Inc,Healthcare Equipment & Supplies,$44.433B,150.09,35.91x,2.08%,23.49%,8.05%,0.60%
AGTI,Agiliti Inc,Healthcare Equipment & Supplies,$2.255B,16.91,63.72x,0.00%,4.06%,0.00%,0.00%
AGL,Agilon Health Inc,Healthcare Providers & Services,$6.944B,16.86,--,0.00%,-9.76%,0.00%,0.00%
AGYS,"Agilysys, Inc.",Software & IT Services,$1.977B,78.87,243.49x,19.53%,8.55%,8.54%,0.00%
AGIO,Agios Pharmaceuticals Inc,Biotechnology & Medical Research,$1.567B,28.52,--,0.00%,-30.01%,0.00%,0.00%
AGNC,AGNC Investment Corp,Residential & Commercial REITs,$6.048B,10.58,--,14.71%,-25.43%,0.33%,13.61%
AEM,Agnico Eagle Mines Ltd (USA),Metals & Mining,$11.403B,52.30,35.42x,0.00%,5.16%,0.00%,3.06%
API^E15,Agora Inc,Software & IT Services,$398.940M,4.12,--,0.00%,-12.92%,0.00%,0.00%
ADC,Agree Realty Corporation,Residential & Commercial REITs,$6.291B,71.03,39.96x,24.85%,3.63%,1.69%,4.05%
AHRN,Ahren Acquisition Corp,Holding Companies,$306.600M,10.22,43.61x,0.00%,5.98%,0.00%,0.00%
AIRYY,Air China Ltd (ADR),Passenger Transportation Services,$4.056B,17.78,0.00x,0.00%,0.00%,0.00%,0.00%
AFLYY,Air France KLM SA (ADR),Passenger Transportation Services,$3.573B,1.39,--,62.84%,0.00%,0.00%,0.00%
AL,Air Lease Corp,Professional & Commercial Services  ,$4.186B,37.75,--,10.85%,-2.00%,0.00%,2.12%
APD,"Air Products & Chemicals, Inc.",Chemicals,$69.775B,314.49,31.19x,5.29%,16.82%,9.61%,2.06%
ATSG,Air Transport Services Group Inc.,Freight & Logistics Services,$1.865B,25.65,11.18x,17.08%,15.00%,39.76%,0.00%
ABNB,Airbnb Inc,Software & IT Services,$34.675B,87.07,36.33x,39.33%,32.61%,0.00%,0.00%
EADSY,Airbus SE (ADR),Aerospace & Defense,$94.269B,29.90,0.00x,0.00%,0.00%,0.00%,1.36%
ASEKY,Aisin Corp (ADR),Automobiles & Auto Parts,$7.968B,27.04,0.00x,0.00%,0.00%,0.00%,7.00%
AKAM,"Akamai Technologies, Inc.",Software & IT Services,$13.171B,83.76,26.84x,3.78%,11.51%,-8.19%,0.00%
AKBTY,Akbank T.A.S. (ADR),Banking Services,$5.330B,2.05,0.00x,0.00%,0.00%,0.00%,1.55%
AKRO,Akero Therapeutics Inc,Biotechnology & Medical Research,$2.111B,45.14,--,0.00%,-44.79%,0.00%,0.00%
AKYA,Akoya Biosciences Inc,Healthcare Equipment & Supplies,$425.107M,11.20,--,34.25%,-65.08%,-9.70%,0.00%
AKZOY,Akzo Nobel NV  (ADR),Chemicals,$17.145B,22.48,21.02x,0.00%,10.16%,0.00%,3.80%
ALG,"Alamo Group, Inc.","Machinery, Equipment & Components",$1.700B,142.05,18.42x,12.02%,12.88%,18.33%,0.51%
ALRM,AlarmCom Hldg Inc,Software & IT Services,$2.494B,49.97,57.26x,12.38%,7.96%,-7.04%,0.00%
ALK,"Alaska Air Group, Inc.",Passenger Transportation Services,$5.563B,43.86,148.46x,62.77%,1.09%,0.00%,0.00%
AIN,Albany International Corp.,"Machinery, Equipment & Components",$3.088B,99.29,29.74x,8.53%,12.56%,6.16%,1.01%
ALB,Albemarle Corporation,Chemicals,$27.253B,232.63,17.64x,121.47%,25.00%,421.29%,0.68%
ACI,Albertsons Companies Inc,Food & Drug Retailing ,$11.226B,20.98,7.43x,0.00%,46.61%,0.00%,2.29%
ALBO,Albireo Pharma Inc,Biotechnology & Medical Research,$409.466M,19.78,--,-14.40%,-93.08%,-348.02%,0.00%
AA,Alcoa Corp,Metals & Mining,$7.939B,44.87,--,3.26%,-2.59%,-27.67%,0.89%
ALDX,Aldeyra Therapeutics Inc,Biotechnology & Medical Research,$379.469M,6.48,--,0.00%,-33.98%,-8.41%,0.00%
ALEC,Alector Inc,Biotechnology & Medical Research,$726.951M,8.79,--,0.00%,-45.49%,0.00%,0.00%
ALRS,Alerus Financial Corp,Banking Services,$465.097M,23.27,10.25x,-8.62%,11.84%,-27.95%,3.07%
ALEX,Alexander & Baldwin Inc (Hawaii),Residential & Commercial REITs,$1.365B,18.82,50.55x,-0.11%,2.47%,0.00%,4.62%
ALX,"Alexander's, Inc.",Residential & Commercial REITs,$1.130B,221.34,9.46x,0.00%,54.15%,0.00%,8.13%
ARE,Alexandria Real Estate Equities Inc,Residential & Commercial REITs,$24.103B,146.89,44.10x,27.20%,3.30%,-23.04%,3.29%
ASTL,Algoma Steel Group Inc,Metals & Mining,$713.911M,6.37,1.32x,0.00%,66.20%,0.00%,3.14%
BABA,Alibaba Group Holding Ltd - ADR,Software & IT Services,$238.045B,87.81,124.98x,2.74%,1.43%,-0.17%,0.00%
ALIT,Alight Inc,Software & IT Services,$3.898B,8.37,49.44x,0.00%,1.83%,0.00%,0.00%
ALGN,"Align Technology, Inc.",Healthcare Equipment & Supplies,$15.957B,204.28,31.63x,-5.27%,14.17%,-36.81%,0.00%
ALHC,Alignment Healthcare Inc,Healthcare Providers & Services,$2.227B,11.89,--,21.02%,-47.05%,28.95%,0.00%
ANCTF,Alimentation Couche-Tard Inc (USA),Oil & Gas,$46.177B,45.18,16.13x,0.00%,22.66%,0.00%,0.92%
ALKT,Alkami Technology Inc,Software & IT Services,$1.271B,13.89,--,0.00%,-19.91%,0.00%,0.00%
ALKS,Alkermes Plc,Biotechnology & Medical Research,$4.269B,25.98,--,-6.74%,-12.07%,-69.23%,0.00%
ALLK,Allakos Inc,Biotechnology & Medical Research,$667.999M,7.84,--,0.00%,-85.49%,0.00%,0.00%
ALGT,Allegiant Travel Company,Passenger Transportation Services,$1.229B,66.81,--,33.38%,-3.32%,-51.96%,0.00%
ALLE,Allegion PLC,Communications & Networking,$9.377B,106.75,21.75x,13.53%,52.61%,5.20%,1.54%
ALLG,Allego NV,"Machinery, Equipment & Components",$852.295M,3.19,--,0.00%,0.00%,0.00%,0.00%
ALGM,Allegro MicroSystems Inc,Semiconductors & Semiconductor Equipment ,$5.829B,30.47,49.09x,0.00%,16.24%,0.00%,0.00%
ALE,ALLETE Inc,Electrical Utilities & IPPs,$3.710B,64.91,17.69x,7.12%,7.94%,17.03%,4.01%
ARLP,"Alliance Resource Partners, L.P.",Coal,$2.802B,22.03,6.99x,52.48%,30.53%,189.66%,9.08%
AWF,AllianceBernstein Global Hgh Incm Fd Inc,Collective Investments ,$815.726M,9.46,--,0.00%,0.00%,0.00%,8.31%
AB,Alliancebernstein Holding LP,Investment Banking & Investment Services,$3.530B,35.95,10.61x,-7.85%,21.53%,-27.76%,12.32%
AFB,AllianceBernstein Natnl Muncpl Incm Fnd.,Collective Investments ,$302.962M,10.54,--,0.00%,-13.22%,0.00%,3.72%
LNT,Alliant Energy Corporation,Electrical Utilities & IPPs,$13.496B,55.08,20.77x,0.77%,10.87%,6.08%,3.10%
AMOT,"Allied Motion Technologies, Inc.","Machinery, Equipment & Components",$528.184M,33.24,34.50x,23.08%,8.39%,45.24%,0.30%
ALSN,Allison Transmission Holdings Inc,"Machinery, Equipment & Components",$3.975B,42.98,8.30x,13.58%,69.16%,27.12%,1.95%
ALLO,Allogene Therapeutics Inc,Biotechnology & Medical Research,$901.313M,6.25,--,0.00%,-36.57%,0.00%,0.00%
ALVR,Allovir Inc,Biotechnology & Medical Research,$528.234M,5.67,--,0.00%,-72.43%,16.06%,0.00%
MDRX,Allscripts Healthcare Solutions Inc,Healthcare Equipment & Supplies,$1.972B,18.05,19.19x,-59.09%,9.24%,-39.86%,0.00%
EAD,Allspring Income Opportunities Fund,Collective Investments ,$392.201M,6.51,--,0.00%,-5.71%,0.00%,10.77%
ALL,Allstate Corp,Insurance,$35.708B,134.64,--,10.14%,0.02%,-83.38%,2.53%
ALLY,Ally Financial Inc,Banking Services,$7.176B,24.03,4.06x,1.20%,15.74%,-30.43%,4.99%
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology & Medical Research,$29.688B,241.31,--,20.02%,-343.51%,-29.72%,0.00%
AOSL,Alpha and Omega Semiconductor Ltd,Semiconductors & Semiconductor Equipment ,$824.102M,30.08,1.87x,1.21%,70.86%,-24.34%,0.00%
AMR,Alpha Metallurgical Resources Inc,Metals & Mining,$2.383B,149.48,1.91x,74.97%,183.09%,445.69%,1.12%
ALBKY,Alpha Services and Holdings SA (ADR),Banking Services,$2.329B,0.25,--,0.00%,-0.90%,0.00%,0.00%
GOOGL,Alphabet Inc,Software & IT Services,$53.506B,89.58,18.13x,10.02%,26.89%,-16.04%,0.00%
ATEC,Alphatec Holdings Inc,Healthcare Equipment & Supplies,$1.178B,11.21,--,39.90%,-352.85%,5.33%,0.00%
ALPN,Alpine Immune Sciences Inc,Biotechnology & Medical Research,$323.694M,7.05,--,63.18%,-35.47%,19.70%,0.00%
ALTG,Alta Equipment Group Inc,"Machinery, Equipment & Components",$400.493M,12.44,63.24x,0.00%,4.56%,0.00%,1.83%
ALTR,Altair Engineering Inc,Software & IT Services,$2.380B,45.43,--,0.00%,-9.99%,0.00%,0.00%
ALCC,ALTC Acquisition Corp,Holding Companies,$508.326M,9.88,1019.61x,0.00%,0.13%,0.00%,0.00%
AYX,Alteryx Inc,Software & IT Services,$3.019B,49.32,--,55.46%,-114.73%,-118.75%,0.00%
ATUS,Altice USA Inc,Telecommunications Services,$1.896B,4.17,3.00x,0.00%,0.00%,0.00%,0.00%
ALT,Altimmune Inc,Biotechnology & Medical Research,$722.146M,14.69,--,0.00%,-41.97%,0.00%,0.00%
AIMC,Altra Industrial Motion Corp,"Machinery, Equipment & Components",$3.885B,59.62,238.51x,1.32%,0.86%,-0.93%,0.60%
MO,Altria Group Inc,Food & Tobacco,$81.705B,45.59,17.71x,-1.58%,0.00%,4.99%,8.25%
AMPS,Altus Power Inc,Electrical Utilities & IPPs,$1.074B,6.76,101.11x,0.00%,8.02%,0.00%,0.00%
AWCMY,Alumina Limited (ADR),Metals & Mining,$1.160B,4.17,10.73x,0.00%,16.13%,0.00%,6.71%
ACHHY,Aluminum Corporation of China Ltd (ADR),Metals & Mining,$1.656B,10.50,8.56x,0.00%,9.89%,0.00%,2.26%
ALVO,Alvotech SA,Biotechnology & Medical Research,$1.877B,8.30,--,0.00%,0.00%,0.00%,0.00%
ALXO,ALX Oncology Holdings Inc,Biotechnology & Medical Research,$431.595M,10.59,--,0.00%,-36.07%,-53.62%,0.00%
AMAL,Amalgamated Bank,Banking Services,$706.376M,23.03,9.90x,30.62%,13.92%,55.95%,1.74%
AMRN,Amarin Corporation plc (ADR),Biotechnology & Medical Research,$479.184M,1.25,--,-37.26%,-14.95%,0.00%,0.00%
AMZN,"Amazon.com, Inc.",Diversified Retail,$885.198B,86.77,80.07x,8.60%,8.78%,0.00%,0.00%
AMBC,"Ambac Financial Group, Inc.",Insurance,$737.524M,16.40,2.29x,21.91%,31.70%,"1,219.70%",0.00%
AMBA,Ambarella Inc,Semiconductors & Semiconductor Equipment ,$3.146B,82.53,--,1.71%,-11.36%,-36.02%,0.00%
ABEV,Ambev SA (ADR),Beverages,$43.203B,2.75,17.31x,14.46%,14.80%,0.00%,5.30%
AMAM,Ambrx Biopharma Inc - ADR,Biotechnology & Medical Research,$529.843M,1.96,--,0.00%,-54.11%,0.00%,0.00%
AMC,AMC Entertainment Holdings Inc,Hotels & Entertainment Services,$2.739B,5.30,--,62.80%,0.00%,54.89%,0.00%
AMCX,AMC Networks Inc,Media & Publishing,$480.629M,15.26,2.31x,-0.37%,31.46%,-20.02%,0.00%
AMCR,Amcor PLC,Containers & Packaging,$18.017B,12.10,21.94x,0.00%,19.37%,0.00%,4.05%
DOX,Amdocs Limited,Software & IT Services,$11.062B,88.59,19.86x,6.22%,15.23%,10.38%,1.78%
AMED,Amedisys Inc,Healthcare Providers & Services,$2.651B,81.59,22.08x,0.64%,12.59%,-18.15%,0.00%
AMTB,Amerant Bancorp Inc,Banking Services,$937.904M,27.77,9.05x,-2.09%,14.55%,10.67%,0.32%
AEE,Ameren Corp,Multiline Utilities,$21.816B,88.60,22.17x,9.74%,10.42%,5.99%,2.66%
AMRC,Ameresco Inc,Renewable Energy,$2.022B,59.63,30.21x,52.94%,14.33%,25.83%,0.00%
AMX,America Movil SAB de CV (ADR),Telecommunications Services,$38.978B,18.41,14.12x,1.45%,26.09%,18.52%,3.45%
CRMT,"America's Car-Mart, Inc.",Other Specialty Retailers,$441.244M,69.28,7.42x,15.76%,13.39%,-64.81%,0.00%
AAL,American Airlines Group Inc,Passenger Transportation Services,$8.468B,13.03,--,62.24%,0.00%,97.26%,0.00%
AAT,"American Assets Trust, Inc",Residential & Commercial REITs,$1.597B,26.39,37.71x,10.28%,3.39%,55.32%,4.85%
AXL,"American Axle & Manufact. Holdings, Inc.",Automobiles & Auto Parts,$942.779M,8.23,307.66x,12.68%,0.83%,-21.51%,0.00%
ABML,American Battery Technology Co,Chemicals,$330.697M,0.51,--,0.00%,-30.57%,0.00%,0.00%
AMBZ,American Business Bank,Banking Services,$347.561M,39.50,--,0.00%,0.00%,0.00%,0.00%
ASCS,American Crystal Sugar Co,Food & Tobacco,$2.241B,"4,500.00",--,0.00%,0.00%,0.00%,0.00%
AEO,American Eagle Outfitters Inc,Other Specialty Retailers,$2.687B,14.34,25.16x,-1.32%,8.46%,-60.73%,0.00%
AEP,American Electric Power Company Inc,Electrical Utilities & IPPs,$48.992B,95.34,19.77x,7.24%,10.54%,5.91%,3.48%
AEL,American Equity Investment Life Holding,Insurance,$3.888B,45.37,3.31x,17.22%,26.90%,34.85%,0.79%
AXP,American Express Company,Banking Services,$109.918B,147.10,14.78x,24.71%,31.15%,-0.30%,1.41%
AFG,American Financial Group Inc,Insurance,$11.651B,136.84,11.93x,11.20%,21.30%,-0.78%,1.84%
AMH,American Homes 4 Rent,Residential & Commercial REITs,$10.690B,30.30,49.69x,14.22%,3.40%,46.34%,2.38%
AIG,American International Group Inc,Insurance,$47.053B,63.33,3.76x,234.24%,26.67%,-11.13%,2.02%
AMNB,American National BankShares Inc,Banking Services,$401.414M,37.83,10.76x,-0.83%,11.36%,-16.75%,3.17%
ARL,"American Realty Investors, Inc.",Real Estate Operations,$418.014M,25.88,1.29x,0.00%,79.45%,0.00%,0.00%
AMSWA,"American Software, Inc.",Software & IT Services,$454.207M,14.23,44.45x,-1.33%,8.18%,-17.02%,3.09%
AWR,American States Water Co,Water Utilities,$3.440B,93.06,43.13x,2.43%,11.54%,-3.14%,1.71%
AMT,American Tower Corp,Residential & Commercial REITs,$98.057B,210.60,33.43x,14.22%,49.65%,12.01%,2.96%
AVD,American Vanguard Corp.,Chemicals,$651.396M,22.02,23.41x,10.45%,7.77%,67.19%,0.54%
AWK,American Water Works Company Inc,Water Utilities,$27.734B,152.53,21.06x,-3.72%,18.03%,12.06%,1.72%
